date,product,quantity,unit_price,revenue
2025-12-05,Monitor,3,350,1050
2025-05-03,Laptop,2,1200,2400
2025-02-08,Monitor,5,350,1750
2025-07-29,Monitor,1,350,350
2025-08-29,Mouse,5,40,200
2025-04-29,Keyboard,1,80,80
2025-12-26,Keyboard,3,80,240
2025-12-18,Mouse,1,40,40
2025-11-17,Monitor,3,350,1050
2025-08-06,Headphones,2,150,300
2025-04-26,Laptop,5,1200,6000
2025-03-14,Monitor,3,350,1050
2025-03-26,Laptop,1,1200,1200
2025-10-19,Keyboard,5,80,400
2025-03-05,Keyboard,4,80,320
2025-12-25,Mouse,3,40,120
2025-09-14,Mouse,3,40,120
2025-08-13,Headphones,4,150,600
2025-01-21,Laptop,5,1200,6000
2025-11-06,Mouse,3,40,120
2025-02-16,Keyboard,1,80,80
2025-10-28,Monitor,5,350,1750
2025-10-23,Laptop,3,1200,3600
2025-08-29,Laptop,2,1200,2400
2025-05-23,Headphones,4,150,600
2025-08-12,Monitor,5,350,1750
2025-08-29,Mouse,1,40,40
2025-06-20,Keyboard,4,80,320
2025-03-24,Keyboard,1,80,80
2025-12-22,Keyboard,4,80,320
2025-12-06,Mouse,3,40,120
2025-01-19,Mouse,5,40,200
2025-06-11,Mouse,1,40,40
2025-03-01,Keyboard,3,80,240
2025-01-01,Mouse,5,40,200
2025-07-31,Headphones,4,150,600
2025-09-23,Laptop,2,1200,2400
2025-09-13,Keyboard,5,80,400
2025-04-15,Mouse,1,40,40
2025-03-09,Keyboard,5,80,400
2025-12-24,Keyboard,4,80,320
2025-01-15,Mouse,1,40,40
2025-12-30,Headphones,2,150,300
2025-10-10,Monitor,3,350,1050
2025-07-28,Laptop,5,1200,6000
2025-02-28,Laptop,2,1200,2400
2025-11-28,Mouse,1,40,40
2025-05-30,Monitor,4,350,1400
2025-08-01,Headphones,3,150,450
2025-05-05,Mouse,4,40,160
2025-03-16,Mouse,5,40,200
2025-11-03,Mouse,2,40,80
2025-02-05,Headphones,2,150,300
2025-06-24,Keyboard,4,80,320
2025-01-02,Headphones,3,150,450
2025-10-28,Keyboard,3,80,240
2025-03-18,Headphones,4,150,600
2025-09-05,Mouse,5,40,200
2025-10-10,Keyboard,3,80,240
2025-08-22,Headphones,4,150,600
2025-12-24,Keyboard,2,80,160
2025-07-16,Monitor,5,350,1750
2025-01-23,Monitor,4,350,1400
2025-12-28,Keyboard,4,80,320
2025-12-06,Mouse,4,40,160
2025-01-19,Monitor,4,350,1400
2025-10-30,Monitor,5,350,1750
2025-08-14,Keyboard,1,80,80
2025-08-22,Laptop,5,1200,6000
2025-07-29,Laptop,2,1200,2400
2025-08-29,Monitor,1,350,350
2025-11-16,Keyboard,3,80,240
2025-06-18,Mouse,1,40,40
2025-06-12,Headphones,4,150,600
2025-01-19,Mouse,5,40,200
2025-05-01,Headphones,1,150,150
2025-02-16,Keyboard,2,80,160
2025-11-21,Mouse,1,40,40
2025-03-27,Laptop,4,1200,4800
2025-01-24,Keyboard,1,80,80
2025-05-31,Keyboard,1,80,80
2025-08-09,Keyboard,3,80,240
2025-09-29,Monitor,2,350,700
2025-12-16,Mouse,5,40,200
2025-03-31,Monitor,2,350,700
2025-07-15,Laptop,5,1200,6000
2025-09-12,Headphones,2,150,300
2025-04-29,Headphones,2,150,300
2025-08-24,Mouse,3,40,120
2025-08-27,Keyboard,1,80,80
2025-03-22,Keyboard,5,80,400
2025-06-26,Laptop,4,1200,4800
2025-11-24,Headphones,3,150,450
2025-08-22,Mouse,3,40,120
2025-07-16,Keyboard,2,80,160
2025-05-02,Mouse,1,40,40
2025-07-03,Mouse,5,40,200
2025-12-25,Headphones,3,150,450
2025-12-04,Keyboard,1,80,80
2025-01-05,Mouse,3,40,120
2025-11-07,Headphones,1,150,150
2025-04-28,Mouse,3,40,120
2025-04-23,Headphones,3,150,450
2025-05-09,Monitor,5,350,1750
2025-11-18,Monitor,1,350,350
2025-08-14,Laptop,3,1200,3600
2025-07-06,Laptop,5,1200,6000
2025-06-01,Monitor,1,350,350
2025-03-31,Keyboard,4,80,320
2025-10-04,Monitor,2,350,700
2025-09-14,Keyboard,5,80,400
2025-05-12,Keyboard,2,80,160
2025-06-23,Mouse,3,40,120
2025-02-08,Laptop,4,1200,4800
2025-12-13,Monitor,2,350,700
2025-07-07,Mouse,5,40,200
2025-01-08,Laptop,4,1200,4800
2025-03-05,Keyboard,5,80,400
2025-12-11,Mouse,3,40,120
2025-07-15,Keyboard,5,80,400
2025-12-12,Keyboard,1,80,80
2025-01-13,Monitor,4,350,1400
2025-06-17,Headphones,5,150,750
2025-11-28,Headphones,2,150,300
2025-12-25,Laptop,4,1200,4800
2025-03-01,Keyboard,4,80,320
2025-01-20,Monitor,1,350,350
2025-03-01,Keyboard,4,80,320
2025-10-03,Laptop,2,1200,2400
2025-08-21,Monitor,4,350,1400
2025-08-03,Keyboard,5,80,400
2025-08-01,Headphones,2,150,300
2025-11-12,Laptop,4,1200,4800
2025-01-17,Mouse,3,40,120
2025-08-16,Keyboard,2,80,160
2025-07-05,Mouse,2,40,80
2025-10-06,Laptop,3,1200,3600
2025-07-23,Keyboard,1,80,80
2025-03-04,Keyboard,2,80,160
2025-12-06,Mouse,1,40,40
2025-01-11,Monitor,5,350,1750
2025-05-05,Laptop,3,1200,3600
2025-04-16,Monitor,5,350,1750
2025-04-17,Laptop,5,1200,6000
2025-04-30,Headphones,2,150,300
2025-11-02,Keyboard,2,80,160
2025-03-16,Laptop,3,1200,3600
2025-05-09,Monitor,5,350,1750
2025-12-05,Monitor,1,350,350
2025-01-08,Laptop,2,1200,2400
2025-10-29,Keyboard,2,80,160
2025-03-31,Keyboard,1,80,80
2025-03-06,Keyboard,1,80,80
2025-02-28,Mouse,5,40,200
2025-08-18,Laptop,4,1200,4800
2025-10-31,Keyboard,5,80,400
2025-09-15,Laptop,4,1200,4800
2025-01-23,Monitor,5,350,1750
2025-08-23,Headphones,3,150,450
2025-09-03,Laptop,1,1200,1200
2025-12-18,Mouse,4,40,160
2025-12-31,Laptop,4,1200,4800
2025-02-11,Mouse,1,40,40
2025-03-17,Keyboard,5,80,400
2025-05-21,Laptop,2,1200,2400
2025-10-08,Headphones,5,150,750
2025-11-02,Keyboard,4,80,320
2025-08-21,Headphones,3,150,450
2025-08-09,Headphones,5,150,750
2025-12-02,Laptop,1,1200,1200
2025-08-09,Headphones,2,150,300
2025-07-31,Mouse,2,40,80
2025-07-24,Keyboard,4,80,320
2025-06-10,Mouse,1,40,40
2025-12-07,Mouse,3,40,120
2025-03-20,Keyboard,3,80,240
2025-02-16,Mouse,1,40,40
2025-08-10,Laptop,1,1200,1200
2025-03-08,Laptop,3,1200,3600
2025-10-28,Headphones,1,150,150
2025-06-18,Headphones,5,150,750
2025-07-01,Laptop,4,1200,4800
2025-05-28,Mouse,1,40,40
2025-06-30,Headphones,3,150,450
2025-09-17,Laptop,5,1200,6000
2025-12-03,Monitor,2,350,700
2025-02-25,Mouse,2,40,80
2025-07-08,Keyboard,5,80,400
2025-10-21,Laptop,3,1200,3600
2025-10-15,Monitor,4,350,1400
2025-12-12,Headphones,5,150,750
2025-11-08,Headphones,1,150,150
2025-04-03,Keyboard,1,80,80
2025-06-23,Keyboard,3,80,240
2025-04-03,Keyboard,1,80,80
2025-12-03,Monitor,5,350,1750
2025-03-14,Mouse,1,40,40
2025-09-29,Laptop,1,1200,1200
2025-08-03,Monitor,4,350,1400
2025-03-22,Mouse,3,40,120
2025-06-16,Keyboard,3,80,240
2025-02-13,Headphones,5,150,750
2025-03-22,Laptop,2,1200,2400
2025-12-12,Headphones,1,150,150
2025-08-15,Laptop,3,1200,3600
2025-11-07,Mouse,4,40,160
2025-05-20,Mouse,4,40,160
2025-02-28,Monitor,5,350,1750
2025-02-26,Keyboard,4,80,320
2025-09-07,Keyboard,5,80,400
2025-01-24,Headphones,3,150,450
2025-11-03,Monitor,4,350,1400
2025-04-15,Laptop,1,1200,1200
2025-03-12,Keyboard,2,80,160
2025-06-17,Keyboard,3,80,240
2025-09-12,Laptop,1,1200,1200
2025-03-08,Mouse,2,40,80
2025-12-27,Mouse,5,40,200
2025-10-14,Monitor,5,350,1750
2025-07-23,Keyboard,1,80,80
2025-01-10,Laptop,4,1200,4800
2025-06-10,Mouse,1,40,40
2025-10-21,Headphones,4,150,600
2025-05-29,Mouse,4,40,160
2025-01-11,Laptop,4,1200,4800
2025-11-13,Keyboard,2,80,160
2025-02-15,Mouse,3,40,120
2025-05-05,Mouse,1,40,40
2025-07-25,Mouse,5,40,200
2025-07-22,Headphones,1,150,150
2025-04-24,Keyboard,3,80,240
2025-02-09,Keyboard,2,80,160
2025-09-29,Headphones,1,150,150
2025-06-28,Headphones,2,150,300
2025-05-01,Keyboard,2,80,160
2025-05-12,Laptop,2,1200,2400
2025-11-05,Monitor,2,350,700
2025-04-01,Monitor,1,350,350
2025-10-16,Mouse,4,40,160
2025-12-15,Headphones,4,150,600
2025-06-15,Headphones,5,150,750
2025-08-14,Keyboard,2,80,160
2025-08-15,Laptop,4,1200,4800
2025-10-30,Keyboard,3,80,240
2025-09-17,Laptop,3,1200,3600
2025-08-25,Laptop,3,1200,3600
2025-01-30,Mouse,1,40,40
2025-02-09,Keyboard,3,80,240
2025-11-01,Laptop,5,1200,6000
2025-08-25,Headphones,4,150,600
2025-01-22,Headphones,5,150,750
2025-11-30,Mouse,5,40,200
2025-11-06,Monitor,3,350,1050
2025-03-19,Mouse,5,40,200
2025-02-22,Laptop,4,1200,4800
2025-09-16,Keyboard,1,80,80
2025-05-07,Monitor,1,350,350
2025-09-26,Mouse,4,40,160
2025-03-23,Headphones,5,150,750
2025-05-25,Keyboard,3,80,240
2025-06-23,Mouse,4,40,160
2025-11-20,Headphones,1,150,150
2025-06-18,Keyboard,1,80,80
2025-12-14,Laptop,5,1200,6000
2025-05-10,Mouse,3,40,120
2025-06-20,Headphones,2,150,300
2025-12-06,Laptop,5,1200,6000
2025-06-08,Monitor,3,350,1050
2025-11-01,Mouse,2,40,80
2025-10-14,Laptop,3,1200,3600
2025-03-07,Mouse,3,40,120
2025-11-27,Headphones,1,150,150
2025-07-05,Mouse,5,40,200
2025-06-08,Laptop,3,1200,3600
2025-06-24,Monitor,2,350,700
2025-04-26,Mouse,2,40,80
2025-02-09,Monitor,2,350,700
2025-09-17,Keyboard,1,80,80
2025-01-20,Headphones,5,150,750
2025-03-09,Keyboard,5,80,400
2025-03-20,Headphones,4,150,600
2025-12-21,Monitor,2,350,700
2025-08-13,Headphones,2,150,300
2025-07-06,Laptop,4,1200,4800
2025-11-09,Monitor,4,350,1400
2025-04-30,Keyboard,4,80,320
2025-06-08,Headphones,2,150,300
2025-07-08,Mouse,2,40,80
2025-08-25,Headphones,4,150,600
2025-09-15,Keyboard,4,80,320
2025-03-24,Headphones,4,150,600
2025-03-12,Monitor,5,350,1750
2025-11-25,Keyboard,1,80,80
2025-10-11,Mouse,3,40,120
2025-03-05,Laptop,5,1200,6000
2025-03-24,Keyboard,1,80,80
2025-09-20,Keyboard,4,80,320
2025-02-16,Monitor,4,350,1400
2025-06-28,Monitor,4,350,1400
2025-01-28,Laptop,4,1200,4800
2025-07-11,Mouse,5,40,200
2025-02-11,Monitor,4,350,1400
2025-01-15,Keyboard,2,80,160
2025-11-29,Keyboard,1,80,80
2025-03-12,Keyboard,2,80,160
2025-08-30,Laptop,3,1200,3600
2025-08-18,Monitor,4,350,1400
2025-02-10,Headphones,1,150,150
2025-04-21,Laptop,3,1200,3600
2025-11-08,Monitor,5,350,1750
2025-02-26,Headphones,4,150,600
2025-06-04,Keyboard,2,80,160
2025-05-03,Laptop,1,1200,1200
2025-08-23,Mouse,5,40,200
2025-09-13,Laptop,1,1200,1200
2025-01-09,Headphones,5,150,750
2025-05-04,Headphones,5,150,750
2025-08-08,Monitor,3,350,1050
2025-06-30,Laptop,5,1200,6000
2025-08-02,Monitor,5,350,1750
2025-09-26,Monitor,1,350,350
2025-09-27,Keyboard,1,80,80
2025-09-17,Headphones,5,150,750
2025-07-19,Headphones,1,150,150
2025-11-22,Mouse,1,40,40
2025-05-10,Mouse,3,40,120
2025-02-04,Laptop,3,1200,3600
2025-12-03,Keyboard,2,80,160
2025-06-20,Laptop,5,1200,6000
2025-06-30,Monitor,1,350,350
2025-11-26,Headphones,3,150,450
2025-12-23,Monitor,4,350,1400
2025-03-11,Mouse,2,40,80
2025-01-19,Laptop,4,1200,4800
2025-01-23,Keyboard,2,80,160
2025-06-11,Monitor,1,350,350
2025-07-23,Keyboard,5,80,400
2025-05-10,Headphones,4,150,600
2025-05-27,Laptop,2,1200,2400
2025-12-02,Keyboard,1,80,80
2025-03-05,Keyboard,3,80,240
2025-07-24,Keyboard,4,80,320
2025-06-23,Mouse,4,40,160
2025-12-21,Monitor,4,350,1400
2025-09-23,Mouse,3,40,120
2025-08-06,Keyboard,1,80,80
2025-11-05,Laptop,4,1200,4800
2025-05-31,Monitor,5,350,1750
2025-02-10,Keyboard,1,80,80
2025-06-06,Keyboard,3,80,240
2025-08-07,Mouse,5,40,200
2025-06-29,Monitor,4,350,1400
2025-06-30,Mouse,1,40,40
2025-05-21,Headphones,4,150,600
2025-12-10,Laptop,1,1200,1200
2025-09-20,Mouse,3,40,120
2025-03-15,Monitor,1,350,350
2025-01-18,Headphones,4,150,600
2025-05-01,Monitor,1,350,350
2025-07-16,Keyboard,3,80,240
2025-11-06,Headphones,1,150,150
2025-07-09,Monitor,4,350,1400
2025-02-09,Keyboard,4,80,320
2025-09-29,Headphones,2,150,300
2025-06-10,Keyboard,4,80,320
2025-02-28,Keyboard,2,80,160
2025-09-13,Laptop,2,1200,2400
2025-10-15,Headphones,4,150,600
2025-05-14,Laptop,3,1200,3600
2025-11-10,Mouse,2,40,80
2025-04-13,Keyboard,4,80,320
2025-02-07,Laptop,2,1200,2400
2025-08-16,Mouse,2,40,80
2025-12-08,Laptop,3,1200,3600
2025-10-09,Keyboard,1,80,80
2025-06-03,Headphones,3,150,450
2025-07-05,Monitor,2,350,700
2025-03-04,Headphones,2,150,300
2025-05-02,Monitor,2,350,700
2025-07-04,Mouse,1,40,40
2025-07-08,Headphones,5,150,750
2025-03-08,Mouse,5,40,200
2025-02-03,Headphones,1,150,150
2025-09-03,Keyboard,4,80,320
2025-07-29,Headphones,4,150,600
2025-03-06,Headphones,1,150,150
2025-08-19,Keyboard,1,80,80
2025-06-26,Mouse,5,40,200
2025-11-24,Monitor,5,350,1750
2025-03-08,Headphones,2,150,300
2025-01-29,Mouse,5,40,200
2025-03-20,Laptop,5,1200,6000
2025-03-24,Keyboard,2,80,160
2025-06-27,Keyboard,2,80,160
2025-02-10,Headphones,3,150,450
2025-11-22,Keyboard,2,80,160
2025-03-06,Headphones,3,150,450
2025-10-01,Keyboard,5,80,400
2025-11-25,Laptop,5,1200,6000
2025-10-25,Monitor,5,350,1750
2025-12-04,Monitor,2,350,700
2025-06-22,Headphones,5,150,750
2025-01-15,Headphones,1,150,150
2025-11-25,Laptop,1,1200,1200
2025-11-30,Headphones,3,150,450
2025-08-02,Monitor,5,350,1750
2025-09-12,Headphones,1,150,150
2025-11-25,Headphones,3,150,450
2025-05-06,Keyboard,4,80,320
2025-08-21,Mouse,3,40,120
2025-03-22,Laptop,1,1200,1200
2025-09-05,Mouse,4,40,160
2025-06-24,Mouse,2,40,80
2025-06-10,Headphones,2,150,300
2025-07-24,Keyboard,3,80,240
2025-09-21,Monitor,3,350,1050
2025-06-13,Headphones,1,150,150
2025-03-04,Monitor,4,350,1400
2025-05-07,Keyboard,4,80,320
2025-01-26,Monitor,1,350,350
2025-11-12,Keyboard,4,80,320
2025-03-23,Mouse,2,40,80
2025-06-10,Keyboard,5,80,400
2025-09-13,Monitor,2,350,700
2025-09-13,Headphones,4,150,600
2025-01-12,Keyboard,4,80,320
2025-09-16,Laptop,4,1200,4800
2025-04-21,Mouse,2,40,80
2025-01-25,Headphones,3,150,450
2025-09-11,Laptop,3,1200,3600
2025-05-27,Headphones,4,150,600
2025-02-25,Headphones,1,150,150
2025-05-16,Mouse,2,40,80
2025-07-07,Keyboard,4,80,320
2025-01-27,Laptop,4,1200,4800
2025-04-10,Headphones,5,150,750
2025-05-28,Keyboard,5,80,400
2025-09-16,Laptop,4,1200,4800
2025-05-24,Mouse,5,40,200
2025-03-02,Headphones,5,150,750
2025-07-21,Monitor,1,350,350
2025-10-13,Keyboard,3,80,240
2025-04-12,Keyboard,2,80,160
2025-07-25,Headphones,5,150,750
2025-01-24,Headphones,1,150,150
2025-06-20,Laptop,2,1200,2400
2025-08-22,Mouse,5,40,200
2025-09-21,Monitor,5,350,1750
2025-11-10,Monitor,3,350,1050
2025-07-21,Keyboard,2,80,160
2025-10-31,Headphones,3,150,450
2025-09-18,Keyboard,5,80,400
2025-12-29,Headphones,4,150,600
